username,repo_name,stars,repo_url
public-apis,public-apis,250000,https://github.com/public-apis/public-apis
neovim,neovim,68100,https://github.com/neovim/neovim
tiangolo,fastapi,61100,https://github.com/tiangolo/fastapi
strapi,strapi,55300,https://github.com/strapi/strapi
hoppscotch,hoppscotch,53400,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,49300,https://github.com/ocornut/imgui
meilisearch,meilisearch,38100,https://github.com/meilisearch/meilisearch
slatedocs,slate,35300,https://github.com/slatedocs/slate
hasura,graphql-engine,30000,https://github.com/hasura/graphql-engine
Kong,insomnia,29900,https://github.com/Kong/insomnia
ccxt,ccxt,28800,https://github.com/ccxt/ccxt
httpie,cli,28700,https://github.com/httpie/cli
Binaryify,NeteaseCloudMusicApi,28700,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,27700,https://github.com/trpc/trpc
YMFE,yapi,26400,https://github.com/YMFE/yapi
encode,django-rest-framework,26100,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24100,https://github.com/littlecodersh/ItChat
directus,directus,22700,https://github.com/directus/directus
microsoft,api-guidelines,21700,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21100,https://github.com/shieldfy/API-Security-Checklist
